[2026-05-16 23:00:14] [incremental] 3 datasets | overlap=3 days | workers=6 | parallel=False
[2026-05-16 23:00:14] [incremental] Datasets: ['min_adj_15min', 'min_adj_30min', 'min_adj_60min']
[2026-05-16 23:00:14] 
============================================================
[2026-05-16 23:00:14] [min_adj_15min] Starting incremental update
[2026-05-16 23:00:23] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:23] [min_adj_15min] [incr] 48/2542 | 1 stocks, 64 rows, +0 new | elapsed=8s ETA=415s | tokens=0.5
[2026-05-16 23:00:23] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:23] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:23] [min_adj_15min] [incr] 49/2542 | 1 stocks, 64 rows, +0 new | elapsed=8s ETA=415s | tokens=-0.7
[2026-05-16 23:00:23] [min_adj_15min] [incr] 50/2542 | 1 stocks, 64 rows, +0 new | elapsed=8s ETA=410s | tokens=-0.3
[2026-05-16 23:00:23] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:23] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:23] [min_adj_15min] [incr] 51/2542 | 1 stocks, 64 rows, +0 new | elapsed=9s ETA=419s | tokens=0.3
[2026-05-16 23:00:23] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:23] [min_adj_15min] [incr] 52/2542 | 1 stocks, 64 rows, +0 new | elapsed=9s ETA=415s | tokens=0.1
[2026-05-16 23:00:23] [min_adj_15min] [incr] 53/2542 | 1 stocks, 64 rows, +0 new | elapsed=9s ETA=411s | tokens=-0.5
[2026-05-16 23:00:24] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:24] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:24] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:24] [min_adj_15min] [incr] 54/2542 | 1 stocks, 64 rows, +0 new | elapsed=9s ETA=425s | tokens=0.5
[2026-05-16 23:00:24] [min_adj_15min] [incr] 55/2542 | 1 stocks, 64 rows, +0 new | elapsed=9s ETA=421s | tokens=0.4
[2026-05-16 23:00:24] [min_adj_15min] [incr] 56/2542 | 1 stocks, 64 rows, +0 new | elapsed=9s ETA=418s | tokens=-1.2
[2026-05-16 23:00:24] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:24] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:24] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:24] [min_adj_15min] [incr] 57/2542 | 1 stocks, 64 rows, +0 new | elapsed=10s ETA=425s | tokens=0.2
[2026-05-16 23:00:25] [min_adj_15min] [incr] 58/2542 | 1 stocks, 64 rows, +0 new | elapsed=10s ETA=422s | tokens=0.6
[2026-05-16 23:00:25] [min_adj_15min] [incr] 59/2542 | 1 stocks, 64 rows, +0 new | elapsed=10s ETA=417s | tokens=-1.0
[2026-05-16 23:00:25] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:25] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:25] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:25] [min_adj_15min] [incr] 60/2542 | 1 stocks, 64 rows, +0 new | elapsed=10s ETA=426s | tokens=0.3
[2026-05-16 23:00:25] [min_adj_15min] [incr] 61/2542 | 1 stocks, 64 rows, +0 new | elapsed=10s ETA=423s | tokens=0.4
[2026-05-16 23:00:25] [min_adj_15min] [incr] 62/2542 | 1 stocks, 64 rows, +0 new | elapsed=10s ETA=419s | tokens=-1.2
[2026-05-16 23:00:25] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:25] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:25] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:25] [min_adj_15min] [incr] 63/2542 | 1 stocks, 64 rows, +0 new | elapsed=11s ETA=425s | tokens=0.0
[2026-05-16 23:00:26] [min_adj_15min] [incr] 64/2542 | 1 stocks, 64 rows, +0 new | elapsed=11s ETA=421s | tokens=0.4
[2026-05-16 23:00:26] [min_adj_15min] [incr] 65/2542 | 1 stocks, 64 rows, +0 new | elapsed=11s ETA=417s | tokens=0.7
[2026-05-16 23:00:26] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.9s
[2026-05-16 23:00:26] [min_adj_15min] [incr] 66/2542 | 1 stocks, 64 rows, +0 new | elapsed=11s ETA=424s | tokens=0.3
[2026-05-16 23:00:26] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:26] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:26] [min_adj_15min] [incr] 67/2542 | 1 stocks, 64 rows, +0 new | elapsed=11s ETA=422s | tokens=0.2
[2026-05-16 23:00:26] [min_adj_15min] [incr] 68/2542 | 1 stocks, 64 rows, +0 new | elapsed=11s ETA=418s | tokens=-0.4
[2026-05-16 23:00:26] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:27] [min_adj_15min] [incr] 69/2542 | 1 stocks, 64 rows, +0 new | elapsed=12s ETA=426s | tokens=0.3
[2026-05-16 23:00:27] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:27] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:27] [min_adj_15min] [incr] 70/2542 | 1 stocks, 64 rows, +0 new | elapsed=12s ETA=425s | tokens=0.3
[2026-05-16 23:00:27] [min_adj_15min] [incr] 71/2542 | 1 stocks, 64 rows, +0 new | elapsed=12s ETA=422s | tokens=-0.4
[2026-05-16 23:00:27] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:27] [min_adj_15min] [incr] 72/2542 | 1 stocks, 64 rows, +0 new | elapsed=13s ETA=431s | tokens=0.4
[2026-05-16 23:00:27] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:27] [min_adj_15min] [incr] 73/2542 | 1 stocks, 64 rows, +0 new | elapsed=13s ETA=429s | tokens=0.3
[2026-05-16 23:00:27] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:27] [min_adj_15min] [incr] 74/2542 | 1 stocks, 64 rows, +0 new | elapsed=13s ETA=426s | tokens=0.3
[2026-05-16 23:00:28] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:28] [min_adj_15min] [incr] 75/2542 | 1 stocks, 64 rows, +0 new | elapsed=13s ETA=432s | tokens=0.3
[2026-05-16 23:00:28] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:28] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:28] [min_adj_15min] [incr] 76/2542 | 1 stocks, 64 rows, +0 new | elapsed=13s ETA=432s | tokens=-0.7
[2026-05-16 23:00:28] [min_adj_15min] [incr] 77/2542 | 1 stocks, 64 rows, +0 new | elapsed=13s ETA=428s | tokens=-1.3
[2026-05-16 23:00:28] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:28] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:28] [min_adj_15min] [incr] 78/2542 | 1 stocks, 64 rows, +0 new | elapsed=14s ETA=435s | tokens=0.0
[2026-05-16 23:00:29] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:29] [min_adj_15min] [incr] 79/2542 | 1 stocks, 64 rows, +0 new | elapsed=14s ETA=432s | tokens=0.3
[2026-05-16 23:00:29] [min_adj_15min] [incr] 80/2542 | 1 stocks, 64 rows, +0 new | elapsed=14s ETA=429s | tokens=-0.6
[2026-05-16 23:00:29] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:29] [min_adj_15min] [incr] 81/2542 | 1 stocks, 64 rows, +0 new | elapsed=14s ETA=435s | tokens=0.3
[2026-05-16 23:00:29] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:29] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:29] [min_adj_15min] [incr] 82/2542 | 1 stocks, 64 rows, +0 new | elapsed=14s ETA=435s | tokens=-0.6
[2026-05-16 23:00:29] [min_adj_15min] [incr] 83/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=431s | tokens=-0.3
[2026-05-16 23:00:29] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.9s
[2026-05-16 23:00:29] [min_adj_15min] [incr] 84/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=434s | tokens=0.3
[2026-05-16 23:00:29] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:29] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 85/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=431s | tokens=0.4
[2026-05-16 23:00:30] [min_adj_15min] [incr] 86/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=428s | tokens=-0.2
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.7s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.7s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.9s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 87/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=429s | tokens=0.3
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.5s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 88/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=426s | tokens=0.0
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.5s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 89/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=423s | tokens=-1.7
[2026-05-16 23:00:30] [min_adj_15min] [incr] 90/2542 | 1 stocks, 64 rows, +0 new | elapsed=15s ETA=421s | tokens=-1.3
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.7s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:30] [min_adj_15min] [incr] 91/2542 | 1 stocks, 64 rows, +0 new | elapsed=16s ETA=418s | tokens=0.0
[2026-05-16 23:00:30] [min_adj_15min] [incr] 92/2542 | 1 stocks, 64 rows, +0 new | elapsed=16s ETA=416s | tokens=-0.6
[2026-05-16 23:00:30] [min_adj_15min] [incr] 93/2542 | 1 stocks, 64 rows, +0 new | elapsed=16s ETA=413s | tokens=-0.2
[2026-05-16 23:00:30] [min_adj_15min] [incr] 94/2542 | 1 stocks, 64 rows, +0 new | elapsed=16s ETA=412s | tokens=-0.7
[2026-05-16 23:00:31] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.6s
